date,datestr,run
2020-01-01,2020010100,yes
2020-01-02,2020010200,
2020-01-03,2020010300,
2020-01-04,2020010400,
2020-01-05,2020010500,
2020-01-06,2020010600,
2020-01-07,2020010700,
2020-01-08,2020010800,
2020-01-09,2020010900,
2020-01-10,2020011000,
2020-01-11,2020011100,
2020-01-12,2020011200,
2020-01-13,2020011300,
2020-01-14,2020011400,
2020-01-15,2020011500,
2020-01-16,2020011600,
2020-01-17,2020011700,
2020-01-18,2020011800,
2020-01-19,2020011900,
2020-01-20,2020012000,
2020-01-21,2020012100,
2020-01-22,2020012200,
2020-01-23,2020012300,
2020-01-24,2020012400,
2020-01-25,2020012500,
2020-01-26,2020012600,
2020-01-27,2020012700,
2020-01-28,2020012800,
2020-01-29,2020012900,
2020-01-30,2020013000,
2020-01-31,2020013100,
2020-02-01,2020020100,
2020-02-02,2020020200,
2020-02-03,2020020300,
2020-02-04,2020020400,
2020-02-05,2020020500,
2020-02-06,2020020600,
2020-02-07,2020020700,
2020-02-08,2020020800,
2020-02-09,2020020900,
2020-02-10,2020021000,
2020-02-11,2020021100,
2020-02-12,2020021200,
2020-02-13,2020021300,
2020-02-14,2020021400,
2020-02-15,2020021500,
2020-02-16,2020021600,
2020-02-17,2020021700,
2020-02-18,2020021800,
2020-02-19,2020021900,
2020-02-20,2020022000,
2020-02-21,2020022100,
2020-02-22,2020022200,
2020-02-23,2020022300,
2020-02-24,2020022400,
2020-02-25,2020022500,
2020-02-26,2020022600,
2020-02-27,2020022700,
2020-02-28,2020022800,
2020-02-29,2020022900,
2020-03-01,2020030100,
2020-03-02,2020030200,
2020-03-03,2020030300,
2020-03-04,2020030400,
2020-03-05,2020030500,
2020-03-06,2020030600,
2020-03-07,2020030700,
2020-03-08,2020030800,
2020-03-09,2020030900,
2020-03-10,2020031000,
2020-03-11,2020031100,
2020-03-12,2020031200,
2020-03-13,2020031300,
2020-03-14,2020031400,
2020-03-15,2020031500,
2020-03-16,2020031600,
2020-03-17,2020031700,
2020-03-18,2020031800,
2020-03-19,2020031900,
2020-03-20,2020032000,
2020-03-21,2020032100,
2020-03-22,2020032200,
2020-03-23,2020032300,
2020-03-24,2020032400,
2020-03-25,2020032500,
2020-03-26,2020032600,
2020-03-27,2020032700,
2020-03-28,2020032800,
2020-03-29,2020032900,
2020-03-30,2020033000,
2020-03-31,2020033100,
2020-04-01,2020040100,
2020-04-02,2020040200,
2020-04-03,2020040300,
2020-04-04,2020040400,
2020-04-05,2020040500,
2020-04-06,2020040600,
2020-04-07,2020040700,
2020-04-08,2020040800,
2020-04-09,2020040900,
2020-04-10,2020041000,
2020-04-11,2020041100,
2020-04-12,2020041200,
2020-04-13,2020041300,
2020-04-14,2020041400,
2020-04-15,2020041500,
2020-04-16,2020041600,
2020-04-17,2020041700,
2020-04-18,2020041800,
2020-04-19,2020041900,
2020-04-20,2020042000,
2020-04-21,2020042100,
2020-04-22,2020042200,
2020-04-23,2020042300,
2020-04-24,2020042400,
2020-04-25,2020042500,
2020-04-26,2020042600,
2020-04-27,2020042700,
2020-04-28,2020042800,
2020-04-29,2020042900,
2020-04-30,2020043000,
2020-05-01,2020050100,
2020-05-02,2020050200,
2020-05-03,2020050300,
2020-05-04,2020050400,
2020-05-05,2020050500,
2020-05-06,2020050600,
2020-05-07,2020050700,
2020-05-08,2020050800,
2020-05-09,2020050900,
2020-05-10,2020051000,
2020-05-11,2020051100,
2020-05-12,2020051200,
2020-05-13,2020051300,
2020-05-14,2020051400,
2020-05-15,2020051500,
2020-05-16,2020051600,
2020-05-17,2020051700,
2020-05-18,2020051800,
2020-05-19,2020051900,
2020-05-20,2020052000,
2020-05-21,2020052100,
2020-05-22,2020052200,
2020-05-23,2020052300,
2020-05-24,2020052400,
2020-05-25,2020052500,
2020-05-26,2020052600,
2020-05-27,2020052700,
2020-05-28,2020052800,
2020-05-29,2020052900,
2020-05-30,2020053000,
2020-05-31,2020053100,
2020-06-01,2020060100,
2020-06-02,2020060200,
2020-06-03,2020060300,
2020-06-04,2020060400,
2020-06-05,2020060500,
2020-06-06,2020060600,
2020-06-07,2020060700,
2020-06-08,2020060800,
2020-06-09,2020060900,
2020-06-10,2020061000,
2020-06-11,2020061100,
2020-06-12,2020061200,
2020-06-13,2020061300,
2020-06-14,2020061400,
2020-06-15,2020061500,
2020-06-16,2020061600,
2020-06-17,2020061700,
2020-06-18,2020061800,
2020-06-19,2020061900,
2020-06-20,2020062000,
2020-06-21,2020062100,
2020-06-22,2020062200,
2020-06-23,2020062300,
2020-06-24,2020062400,
2020-06-25,2020062500,
2020-06-26,2020062600,
2020-06-27,2020062700,
2020-06-28,2020062800,
2020-06-29,2020062900,
2020-06-30,2020063000,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,